muni,municode,uf,party,male,occ,edu,yob,votes,elected,valid.votes,coal.votes,pctVV,treat,lat,long,ran.prior,incumbent,log.valid.votes,prior.pctVV,party.prior.pctVV,elec.year,log.total.assets,gini_2000,pt_pres_1998,income_2000,psdb_2000,pt_2000,hdi_2000,time.since.app,num.apps,log.num.apps,edu.scale,match.party,uf.ba,uf.sp,uf.mg,uf.rs,match.num.apps,match.time.since.app
ALTA FLORESTA DO OESTE,310.0,RO,PSL,0.0,Education,"More than Primary, Less than Superior",1960.0,908,0.0,27892.0,908.0,6.13,1.0,-11.927222222222222,-61.990833333333335,0.0,0.0,10.2360951883409,0.0,0.0,2008.0,13.997832948091215,0.578000009059906,0.09317980513728964,188.2740020751953,0.0,0.09862344317978666,0.7149999737739563,3755.0,1,0.0,2.0,PSL,0.0,0.0,0.0,0.0,low,high
CACOAL,94.0,RO,PTB,1.0,White collar,"More than Primary, Less than Superior",1962.0,957,0.0,35568.0,8297.0,2.6906207827260458,0.0,-11.4375,-61.43583333333333,0.0,0.0,10.479201636203978,0.0,15.003257105633079,2004.0,0.0,0.5630000233650208,0.10895466622384589,230.05099487304688,0.0,0.18489701478994647,0.7549999952316284,3755.0,2,0.6931471805599453,2.0,PTB,0.0,0.0,0.0,0.0,medium,high
CEREJEIRAS,272.0,RO,PT,1.0,Education,"More than Primary, Less than Superior",1968.0,148,0.0,9260.0,2986.0,1.5982721382289418,0.0,-13.195555555555556,-60.802499999999995,0.0,0.0,9.133459327640225,0.0,12.766189800152889,2004.0,0.0,0.6000000238418579,0.09743222106360792,253.91799926757812,0.0,0.1460379338781018,0.7509999871253967,3755.0,1,0.0,2.0,PT,0.0,0.0,0.0,0.0,low,high
CEREJEIRAS,272.0,RO,PR,1.0,Government,"More than Primary, Less than Superior",1968.0,273,0.0,28222.0,2510.0,2.72,0.0,-13.195555555555556,-60.802499999999995,1.0,0.0,10.247857094617705,1.5982721382289418,2.7321814254859613,2008.0,8.853808274977197,0.6000000238418579,0.09743222106360792,253.91799926757812,0.0,0.1460379338781018,0.7509999871253967,3755.0,1,0.0,2.0,minor party,0.0,0.0,0.0,0.0,low,high
CEREJEIRAS,272.0,RO,PFL,1.0,White collar,"More than Primary, Less than Superior",1967.0,88,0.0,28222.0,1593.0,0.88,0.0,-13.19138888888889,-60.82361111111111,0.0,0.0,10.247857094617705,0.0,16.684665226781856,2008.0,10.463131911491967,0.6000000238418579,0.09743222106360792,253.91799926757812,0.0,0.1460379338781018,0.7509999871253967,1981.0,2,0.6931471805599453,2.0,PFL,0.0,0.0,0.0,0.0,medium,lowest
CORUMBIARA,655.0,RO,PMDB,1.0,Agriculture,"More than Primary, Less than Superior",1943.0,3,0.0,4313.0,826.0,0.06955715279387896,1.0,-12.998888888888889,-60.94499999999999,0.0,0.0,8.369388996647842,0.0,26.650943396226417,2004.0,0.0,0.5640000104904175,0.1363962670495334,123.30500030517578,0.0,0.30931744312026005,0.6679999828338623,3755.0,2,0.6931471805599453,2.0,PMDB,0.0,0.0,0.0,0.0,medium,high
JARU,159.0,RO,PT,1.0,Agriculture,"More than Primary, Less than Superior",1968.0,558,1.0,26488.0,2790.0,2.1066143159166417,1.0,-10.4375,-62.465,0.0,0.0,10.184447079227082,0.0,10.161559435152403,2004.0,0.0,0.5809999704360962,0.11013354281225451,198.25900268554688,0.0,0.10868966277275732,0.7289999723434448,3580.0,1,0.0,2.0,PT,0.0,0.0,0.0,0.0,low,high
PORTO VELHO,35.0,RO,PP,1.0,White collar,Less than Primary,1965.0,1025,0.0,561768.0,20855.0,0.52,0.0,-9.256944444444445,-64.39916666666667,0.0,0.0,13.23884423225785,0.0,4.648413942829574,2008.0,11.51293546492023,0.6190000176429749,0.18662804927796361,305.2049865722656,0.11653698939574575,0.0,0.7630000114440918,771.0,18,2.8903717578961645,1.0,PP,0.0,0.0,0.0,0.0,high,lowest
PORTO VELHO,35.0,RO,PMDB,1.0,Government,Some Superior or More,1977.0,270,0.0,561768.0,17712.0,0.14,0.0,-9.773888888888889,-66.35749999999999,0.0,0.0,13.23884423225785,0.0,10.02774092389338,2008.0,0.0,0.6190000176429749,0.18662804927796361,305.2049865722656,0.11653698939574575,0.0,0.7630000114440918,460.0,3,1.0986122886681098,3.0,PMDB,0.0,0.0,0.0,0.0,medium,
SAO MIGUEL DO GUAPORE,418.0,RO,PT,1.0,Government,"More than Primary, Less than Superior",1970.0,227,0.0,8295.0,1205.0,2.736588306208559,0.0,-11.690833333333334,-62.71472222222223,1.0,0.0,9.023408202624545,1.4720886168197056,26.14779186707477,2004.0,0.0,0.531000018119812,0.10393719240684321,144.66000366210938,0.0,0.38529411764705884,0.6690000295639038,3888.0,2,0.6931471805599453,2.0,PT,0.0,0.0,0.0,0.0,medium,highest
