"country","firearms","per100","military","lawEnf","pop2021"
"United States","393347000","120.5000","4535380","1016000","332915.0730"
"Falkland Islands","2000","62.1000","","30","3.5330"
"Yemen","14859000","52.8000","28500","","30490.6400"
"New Caledonia","115000","42.5000","","700","288.2180"
"Montenegro","245000","39.1000","5396","8000","628.0530"
"Serbia","2719000","39.1000","384422","53100","8697.5500"
"Uruguay","1198000","34.7000","62130","30000","3485.1510"
"Canada","12708000","34.7000","233949","103000","38067.9030"
"Cyprus","285000","34","99000","11000","1215.5840"
"Finland","1793000","32.4000","475030","14000","5548.3600"
"Lebanon","1927000","31.9000","130150","41000","6769.1460"
"Iceland","106000","31.7000","650","590","343.3530"
"Bosnia and Herzegovina","1185000","31.2000","27300","29000","3263.4660"
"Austria","2577000","30","240880","37900","9043.0700"
"North Macedonia","621000","29.8000","29530","21000","2082.6580"
"Liechtenstein","11000","28.8000","","200","38.2500"
"Norway","1537000","28.8000","188646","13000","5465.6300"
"Malta","119000","28.3000","5547","1637","442.7840"
"Switzerland","2332000","27.6000","324484","34000","8715.4940"
"New Zealand","1212000","26.3000","38280","13000","4860.6430"
"Sweden","2296000","23.1000","139180","38000","10160.1690"
"Greenland","13000","22.3000","","300","56.8770"
"Pakistan","43917000","22.3000","2315480","944000","225199.9370"
"Portugal","2186000","21.3000","333640","89000","10167.9250"
"Monaco","7000","19.6000","","1000","39.5110"
"French Guiana","55000","19.6000","","2000","306.4480"
"Reunion","171000","19.6000","","2000","901.6860"
"Iraq","7588000","19.6000","611000","56000","41179.3500"
"France","12732000","19.6000","566430","497000","65426.1790"
"Germany","15822000","19.6000","483016","466000","83900.4730"
"Luxembourg","110000","18.9000","2340","5000","634.8140"
"Bahamas","74000","18.8000","2470","5000","396.9130"
"Jordan","1473000","18.7000","286450","60000","10269.0210"
"Venezuela","5895000","18.5000","353300","173000","28704.9540"
"Greece","1920000","17.6000","642510","99000","10370.7440"
"Qatar","390000","16.7000","30680","5000","2930.5280"
"Kuwait","685000","16.7000","82580","11000","4328.5500"
"Oman","792000","16.7000","118360","31000","5223.3750"
"Paraguay","1140000","16.7000","235780","21000","7219.6380"
"United Arab Emirates","1569000","16.7000","163800","41000","9991.0890"
"Saudi Arabia","5468000","16.7000","481350","214000","35340.6830"
"United States Virgin Islands","18000","16.6000","","300","104.2260"
"Turkey","13249000","16.5000","1390180","620000","85042.7380"
"Suriname","88000","15.9000","5985","2000","591.8000"
"Guyana","122000","15.8000","10890","4000","790.3260"
"Slovenia","324000","15.6000","131686","13000","2078.7240"
"Namibia","396000","15.4000","11880","15000","2587.3440"
"Thailand","10342000","15.1000","1052815","230000","69950.8500"
"Australia","3573000","14.5000","214520","69000","25788.2150"
"San Marino","5000","14.4000","","160","34.0170"
"Italy","8609000","14.4000","502960","273000","60367.4770"
"Andorra","10000","14.1000","","976","77.3550"
"Honduras","1171000","14.1000","107720","29000","10062.9910"
"Croatia","576000","13.7000","75120","39000","4081.6510"
"Lithuania","385000","13.6000","81240","17000","2689.8620"
"Libya","851000","13.3000","","","6958.5320"
"Mexico","16809000","12.9000","895285","591000","130262.2160"
"Bahrain","181000","12.8000","25796","20000","1748.2960"
"Belgium","1451000","12.7000","80880","78000","11632.3260"
"Equatorial Guinea","112000","12.5000","2760","2000","1449.8960"
"Czech Republic","1323000","12.5000","157233","76000","10724.5550"
"Afghanistan","4270000","12.5000","331170","239000","39835.4280"
"Somalia","1145000","12.4000","37620","8000","16359.5040"
"Russia","17620000","12.3000","30272900","2432000","145912.0250"
"Guatemala","2062000","12.1000","160600","43000","18249.8600"
"Chile","2220000","12.1000","311900","66000","19212.3610"
"Albania","350000","12","21750","19000","2872.9330"
"El Salvador","737000","12","127840","30000","6518.4990"
"Guam","20000","11.5000","","500","170.1790"
"Angola","2982000","11.2000","203300","60000","33933.6100"
"Panama","436000","10.8000","","30000","4381.5790"
"Latvia","205000","10.5000","27936","17000","1866.9420"
"Hungary","1023000","10.5000","147880","17000","9634.1640"
"Samoa","20000","10.1000","","500","200.1490"
"Georgia","402000","10.1000","63950","41000","3979.7650"
"Colombia","4971000","10.1000","350689","283000","51265.8440"
"Belize","37000","10","3690","2000","404.9140"
"Costa Rica","493000","10","","17000","5139.0520"
"Denmark","567000","9.9000","124120","20000","5813.2980"
"Ukraine","4396000","9.9000","6600000","289000","43466.8190"
"South Africa","5351000","9.7000","350636","250481","60041.9940"
"South Sudan","1255000","9.6000","351500","","11381.3780"
"Cayman Islands","6000","9.2000","","400","66.4970"
"Jamaica","246000","8.8000","8681","12000","2973.4630"
"Saint Martin","3000","8.5000","","100","39.2340"
"Martinique","34000","8.5000","","1000","374.7450"
"Guadeloupe","40000","8.5000","","2000","400.0200"
"Bulgaria","590000","8.4000","176640","59400","6896.6630"
"Mauritius","106000","8.3000","4845","11000","1273.4330"
"Brazil","17510000","8.3000","1316300","803000","213993.4370"
"Syria","1547000","8.2000","655500","124000","18275.7020"
"Tonga","9000","8","","200","106.7600"
"Ghana","2280000","8","18600","28000","31732.1290"
"Mongolia","242000","7.9000","323400","7000","3329.2890"
"Spain","3464000","7.5000","333660","264196","46745.2160"
"Dominican Republic","795000","7.4000","106495","46000","10953.7030"
"Argentina","3256000","7.4000","679770","391000","45605.8260"
"Iran","5890000","7.3000","3333550","98000","85028.7590"
"Ireland","342000","7.2000","26636","3000","4982.9070"
"Israel","557000","6.7000","1016900","41000","8789.7740"
"Sudan","2768000","6.6000","590170","129000","44909.3530"
"Gambia","137000","6.5000","1080","5000","2486.9450"
"Slovakia","355000","6.5000","33150","43000","5460.7210"
"Dominica","5000","6.2000","","600","72.1670"
"Maldives","23000","6.2000","9500","3000","543.6170"
"Armenia","186000","6.1000","509240","18000","2968.1270"
"Belarus","581000","6.1000","780600","165000","9442.8620"
"Cape Verde","31000","5.7000","","19000","561.8980"
"Montserrat","300","5.4000","","90","4.9770"
"Antigua and Barbuda","5000","5.4000","438","800","98.7310"
"India","71101000","5.3000","3900000","1700000","1393409.0380"
"Nicaragua","323000","5.2000","261800","8590","6702.3850"
"Estonia","65000","5","38760","18000","1325.1850"
"Lesotho","105000","4.8000","2400","5000","2159.0790"
"Morocco","1690000","4.8000","588020","91000","37344.7950"
"Bermuda","3000","4.6000","","500","62.0900"
"Grenada","5000","4.6000","","1000","113.0210"
"Cambodia","717000","4.5000","258670","64000","16946.4380"
"Mozambique","1337000","4.5000","60000","24000","32163.0470"
"Ivory Coast","1049000","4.4000","33045","15000","27053.6290"
"Sint Maarten","2000","4.2000","","300","43.4120"
"Gibraltar","1000","4.1000","","600","33.6980"
"Seychelles","4000","4.1000","798","200","98.9080"
"Botswana","97000","4.1000","17100","11000","2397.2410"
"Egypt","3931000","4.1000","1544750","1530000","104258.3270"
"Vanuatu","11000","3.9000","","350","314.4640"
"Macau","22000","3.6000","","","658.3940"
"Hong Kong","265000","3.6000","","28000","7552.8100"
"Azerbaijan","362000","3.6000","537920","18000","10223.3420"
"Philippines","3776000","3.6000","454700","139043","111046.9130"
"China","49735000","3.6000","27466400","1971000","1444216.1070"
"Barbados","10000","3.5000","1675","2000","287.7110"
"Saint Kitts and Nevis","2000","3.4000","","450","53.5440"
"Saint Vincent and the Grenadines","4000","3.4000","","854","111.2630"
"Saint Lucia","6000","3.4000","","831","184.4000"
"Sao Tome and Principe","7000","3.4000","570","300","223.3680"
