Respondent,PD_US,PD_Class,PD_prC_US,PD_prC_Class,Proposer,Responder,GT,LibCon,LibConGuess,WarmFuzzy
1,Defect,Defect,0.3,0.8,2,2,2,6,7,8
2,Cooperate,Cooperate,0.75,0.9,5,4,1,6,5,10
3,Cooperate,Cooperate,0.7,0.85,5,3,1,7,6,8
4,Defect,Defect,0.25,0.33,3,2,1,6,5,9
5,Cooperate,Cooperate,0.45,0.3,4,4,3,6,5,7
6,Defect,Defect,40,60,,1,4,4,7,7
7,Defect,Cooperate,0.2,0.5,5,4,4,6,6,9
8,Cooperate,Cooperate,0,1,6,4,2,5,5,7
9,Defect,Defect,0.2,0.1,1,1,2,5,6,10
10,Defect,Cooperate,0.33,0.75,5,1,1,3,6,10
11,Defect,Defect,0.5,0.7,3,5,1,7,5,8
