country,year,inctaxshrn,topratep,topratepl1
USA,1850,,0,0
USA,1851,,0,0
USA,1852,,0,0
USA,1853,,0,0
USA,1854,,0,0
USA,1855,,0,0
USA,1856,,0,0
USA,1857,,0,0
USA,1858,,0,0
USA,1859,,0,0
USA,1860,,0,0
USA,1861,,0,0
USA,1862,,5,0
USA,1863,,5,5
USA,1864,,5,5
USA,1865,,10,5
USA,1866,,10,10
USA,1867,,5,10
USA,1868,,5,5
USA,1869,,5,5
USA,1870,,5,5
USA,1871,,5,5
USA,1872,,0,5
USA,1873,,0,0
USA,1874,,0,0
USA,1875,,0,0
USA,1876,,0,0
USA,1877,,0,0
USA,1878,,0,0
USA,1879,,0,0
USA,1880,,0,0
USA,1881,,0,0
USA,1882,,0,0
USA,1883,,0,0
USA,1884,,0,0
USA,1885,,0,0
USA,1886,,0,0
USA,1887,,0,0
USA,1888,,0,0
USA,1889,,0,0
USA,1890,,0,0
USA,1891,,0,0
USA,1892,,0,0
USA,1893,,0,0
USA,1894,,0,0
USA,1895,,0,0
USA,1896,,0,0
USA,1897,,0,0
USA,1898,,0,0
USA,1899,,0,0
USA,1900,0,0,0
USA,1901,0,0,0
USA,1902,0,0,0
USA,1903,0,0,0
USA,1904,0,0,0
USA,1905,0,0,0
USA,1906,0,0,0
USA,1907,0,0,0
USA,1908,0,0,0
USA,1909,0,0,0
USA,1910,0,0,0
USA,1911,0,0,0
USA,1912,0,0,0
USA,1913,4,7,0
USA,1914,6,7,7
USA,1915,11,7,7
USA,1916,24,15,7
USA,1917,67,67,15
USA,1918,34,77,67
USA,1919,28,73,77
USA,1920,19,73,73
USA,1921,15,73,73
USA,1922,24,56,73
USA,1923,21,56,56
USA,1924,21,46,56
USA,1925,23,25,46
USA,1926,21,25,25
USA,1927,24,25,25
USA,1928,35,25,25
USA,1929,28,24,25
USA,1930,13,25,24
USA,1931,,25,25
USA,1932,,63,25
USA,1933,,63,63
USA,1934,,63,63
USA,1935,,63,63
USA,1936,,79,63
USA,1937,,79,79
USA,1938,,79,79
USA,1939,,79,79
USA,1940,,81,79
USA,1941,,81,81
USA,1942,,88,81
USA,1943,,88,88
USA,1944,,94,88
USA,1945,,94,94
USA,1946,,86,94
USA,1947,,86,86
USA,1948,,82,86
USA,1949,,82,82
USA,1950,,91,82
USA,1951,,91,91
USA,1952,,92,91
USA,1953,,92,92
USA,1954,,91,92
USA,1955,,91,91
USA,1956,,91,91
USA,1957,,91,91
USA,1958,,91,91
USA,1959,,91,91
USA,1960,,91,91
USA,1961,,91,91
USA,1962,,91,91
USA,1963,,91,91
USA,1964,,77,91
USA,1965,,70,77
USA,1966,,70,70
USA,1967,,70,70
USA,1968,,75,70
USA,1969,,77,75
USA,1970,,72,77
USA,1971,,70,72
USA,1972,,70,70
USA,1973,,70,70
USA,1974,,70,70
USA,1975,,70,70
USA,1976,,70,70
USA,1977,,70,70
USA,1978,,70,70
USA,1979,,70,70
USA,1980,,70,70
USA,1981,,69,70
USA,1982,,50,69
USA,1983,,50,50
USA,1984,,50,50
USA,1985,,50,50
USA,1986,,50,50
USA,1987,,39,50
USA,1988,,28,39
USA,1989,,28,28
USA,1990,,28,28
USA,1991,,31,28
USA,1992,,31,31
USA,1993,,40,31
USA,1994,,40,40
USA,1995,,40,40
USA,1996,,40,40
USA,1997,,40,40
USA,1998,,40,40
USA,1999,,40,40
USA,2000,,40,40
USA,2001,,39,40
USA,2002,,39,39
USA,2003,,35,39
USA,2004,,35,35
USA,2005,,35,35
Canada,1850,,0,0
Canada,1851,,0,0
Canada,1852,,0,0
Canada,1853,,0,0
Canada,1854,,0,0
Canada,1855,,0,0
Canada,1856,,0,0
Canada,1857,,0,0
Canada,1858,,0,0
Canada,1859,,0,0
Canada,1860,,0,0
Canada,1861,,0,0
Canada,1862,,0,0
Canada,1863,,0,0
Canada,1864,,0,0
Canada,1865,,0,0
Canada,1866,,0,0
Canada,1867,,0,0
Canada,1868,,0,0
Canada,1869,,0,0
Canada,1870,,0,0
Canada,1871,,0,0
Canada,1872,,0,0
